127.0.0.1, 2016-08-31 18:12:51, POST, /CalenZone/default/user/login, HTTP/1.1, 303, 0.207487
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/default/calendar, HTTP/1.1, 200, 0.082107
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000477
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000402
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000379
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/css/calendar.css, HTTP/1.1, 304, 0.000310
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/calendar.js, HTTP/1.1, 304, 0.000359
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/web2py.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002900
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/jquery.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/list.js, HTTP/1.1, 304, 0.000417
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/bootstrap-calendar/js/calendar.min.js, HTTP/1.1, 304, 0.000995
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/underscore/underscore-min.js, HTTP/1.1, 304, 0.000222
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/clipboard/dist/clipboard.min.js, HTTP/1.1, 304, 0.000972
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/moment/moment.js, HTTP/1.1, 304, 0.002001
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/bootstrap-calendar/css/calendar.css, HTTP/1.1, 304, 0.004071
